restaurant_id,name,description,tags,category,image,price
100,Pho with Beef,Vietnamese soup with beef and veggies,"[""gluten free""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,15.0
100,Fresh Green Salad,Vegetables and stuff with sauce,"[""dairy"", ""gluten free""]",appetizer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,5.5
100,Spring Rolls,3 fresh spring rolls,"[""gluten free""]",appetizer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,7.5
100,Pho with Shrimp,Vietnamese soup with shrimp and veggies,"[""gluten free""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,16.0
100,Pho with Chicken,Vietnamese soup with chicken and veggies,"[""gluten free""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,13.5
100,Pho with Veggies,Vietnamese soup with veggies,"[""gluten free"", ""vegetarian""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,11.0
100,Asahi,Fresh clean beer from Japan,"[""gluten""]",draft beer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,5.5
100,Purple dragon,Warm saki with a special blend of fruit juices,"[""gluten free""]",cocktail,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,8.5
100,Tiger Asian Lager,Easy-drinking Asian pilsner,"[""gluten""]",draft beer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,5.5
100,Tofu Plate,A big pile of steamed rice with vegetables and fried tofu,"[""gluten free"", ""vegetarian""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,12.5
200,Huli Huli Chicken,The best chicken you'll ever put in your mouth,"[""gluten free""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,15.0
200,Kalua Pig,Pork wrapped in tea leaves and cooked in a whole in the ground,"[""gluten free""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,16.0
200,Manapua,Soft steamed dough filled with taro,"[""vegetarian"", ""gluten""]",appetizer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,4.0
200,Longboard IPA,Beer for drinking,"[""gluten""]",draft beer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,4.0
200,Mai Tai,"Fresh blend of rum, orange curaçao, fresh lime juice and orgeat","[""nuts""]",cocktail,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,4.0
200,Spam Musubi,"Fried spam, egg, and rice wrapped in nori","[""egg""]",appetizer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,5.0
200,Bento Box,1/2 serving of 2 entrees with rice and salad served to-go,"[""gluten""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,14.0
200,Hawaiian Mule,"Lime juice, pineapple juice, and vodka served in a copper cup","[""none""]",cocktail,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,9.0
200,Maui's Pale Ale,The palest of ales from the slopes of Haleakala,"[""gluten""]",draft beer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,6.0
200,Hang 10,Full-bodied brew with 10% ABV,"[""gluten""]",draft beer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,9.0
300,Mac and Cheese,The special sauce helps it slide down,"[""dairy"", ""gluten""]",appetizer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,9.0
300,Fried Chicken and Taters,"Fried chicken, mashed potatoes, and gravy","[""dairy""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,15.0
300,Grandpa's Moonshine,A blindingly good time!,"[""gluten free""]",cocktail,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,7.0
300,Pasbt Red Ribbon,The cheapest path to bad decisions,"[""gluten""]",draft beer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,2.0
300,Biscuits and Gravy,Flaky homemade biscuits slathered in white gravy with sausage,"[""gluten""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,11.0
300,Chicken Fried Steak,Tender slab of cow fried with the chickens and covered in gravy,"[""gluten""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,13.0
300,Black Eyed Peas,"They sing, dance, rap and satisfy your hunger","[""gluten free""]",appetizer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,10.0
300,Fried Okra,"Crispy on the outside and slimy on the inside, just like Ma used to make","[""gluten""]",appetizer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,5.0
300,Roadkill Stew,"A savory blend of organic, free-range possom, raccoon, and polecate, marinated in automotive juices and lightly sprinkled with steamed kudzu","[""gluten free""]",entree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,5.0
300,Mystery Mojito,"We don't know what's in it and neither will you, but it'll give you a buzz!","[""gluten"", ""nuts"", ""soy""]",cocktail,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Pictograms-nps-food_service.svg/640px-Pictograms-nps-food_service.svg.png,3.0
